Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-02-24,9970.2,9987.4,9499.5,9672.0,66.19702797,642682.9744312894,9708.637897196057
2020-02-23,9663.6,9984.3,9661.19,9966.7,51.09980304,503697.581555412,9857.133522826436
2020-02-22,9720.0,9728.5,9568.4,9670.2,76.69047024,739899.9275713358,9647.87313542147
2020-02-21,9601.0,9750.0,9556.12,9669.0,48.15108588,464158.427961162,9639.62534755534
2020-02-20,9590.5,9677.9,9342.6,9601.0,104.25278191,996451.6985512163,9558.034618313008
2020-02-19,10192.2,10268.3,9339.2,9612.4,154.69942267,1523342.1802415855,9847.109665632892
2020-02-18,9709.2,10251.9,9626.9,10177.0,73.68384891,734034.15043797,9961.9409313776
2020-02-17,9933.0,9972.9,9485.3,9708.8,105.27662361,1020713.7046375,9695.5398989497
2020-02-16,9905.2,10050.3,9659.2,9933.8,67.76049026,667939.20844831,9857.3550144841
2020-02-15,10372.52,10377.7,9803.0,9896.4,58.39845963,586426.26429777,10041.810486325
2020-02-14,10238.2,10384.3,10110.05,10341.5,131.9831854,1356965.3640574,10281.350309472
2020-02-13,10343.9,10479.8,10071.6,10243.5,295.89514809,3065589.0052062,10360.389567029
2020-02-12,10258.3,10456.7,10244.4,10351.6,145.59716404,1500366.0068411,10304.912301924
2020-02-11,9843.45,10322.2,9704.85,10258.3,224.55176908,2286080.0964327,10180.637212519
2020-02-10,10140.0,10171.2,9775.7,9884.1,73.06541834,724604.53251665,9917.2022685863
2020-02-09,9910.5,10125.5,9910.5,10125.5,13.9897038,139732.41104654,9988.2322774079
2020-02-08,9806.7,9926.3,9668.5,9908.0,59.66223286,586191.2344288,9825.1642006815
2020-02-07,9743.6,9856.9,9724.7,9814.7,69.86462642,683398.50246683,9781.7527622418
2020-02-06,9599.7,9846.6,9531.5,9738.9,157.47395744,1522984.095893,9671.3394433696
2020-02-05,9170.03,9731.2,9160.0,9598.3,113.18473095,1072847.2935301,9478.7281334266
2020-02-04,9302.02,9345.0,9082.4,9166.64,56.6443465,519775.4866055,9176.1229270338
2020-02-03,9316.4,9588.2,9230.46,9277.8,77.69545189,730243.45822657,9398.7928567612
2020-02-02,9359.7,9450.2,9149.8,9340.5,42.49553652,395409.82050772,9304.7376945488
2020-02-01,9357.5,9441.0,9297.6,9383.7,13.67574014,128062.98900119,9364.2455684443
