code,name,description,refreshed_at,from_date,to_date
BITMARKETRUB,Bitcoin Markets (bitmarketRUB),Daily Bitcoin exchange rate (BTC vs. RUB) on Bitmarket. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-06-22,2011-10-24
BITMARKETUSD,Bitcoin Markets (bitmarketUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitmarket. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-05-18,2012-12-20
BITMASZYNAPLN,Bitcoin Markets (bitmaszynaPLN),This dataset has no description.,2020-04-25 23:04:27,2017-08-04,2020-04-07
BITMELTC,Bitcoin Markets (bitmeLTC),Daily Bitcoin exchange rate (BTC vs. LTC) on Bitme. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2013-10-31,2013-11-28
BITMEUSD,Bitcoin Markets (bitmeUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitme. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2012-07-08,2013-03-28
BITNZNZD,Bitcoin Markets (bitnzNZD),Daily Bitcoin exchange rate (BTC vs. NZD) on Bitnz. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-05-13 23:03:27,2011-09-12,2017-04-14
BITOMATPLN,Bitcoin Markets (bitomatPLN),Daily Bitcoin exchange rate (BTC vs. PLN) on Bitomat. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-04-01,2011-08-11
BITSTAMPEUR,Bitcoin Markets (bitstampEUR),This dataset has no description.,2020-04-25 23:04:27,2018-02-13,2020-04-25
BITSTAMPUSD,Bitcoin Markets (bitstampUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Bitstamp. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2011-09-13,2020-04-25
BITSTOCKCZK,Bitcoin Markets (bitstockCZK),Daily Bitcoin exchange rate (BTC vs. CZK) on Bitstock. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2019-05-16 23:20:25,2013-12-23,2019-04-17
BITXIDR,Bitcoin Markets (bitxIDR),This dataset has no description.,2020-04-25 23:04:27,2017-04-19,2020-04-25
